shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.749259,-78.715249,348,10629.75
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.7496,-78.721089,361,11290.68
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.795469,-78.702109,528,22275.03
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.79576,-78.700029,532,22465.31
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.8684,-78.82913,32,1223.04
485daab2-892f-4bea-b175-06f42185b283,35.70551,-78.835439,93,4509.68
485daab2-892f-4bea-b175-06f42185b283,35.706699,-78.836079,97,4653.87
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.79577,-78.69857,536,22597.22
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.788181,-78.781819,306,15638.26
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.86785,-78.82827,36,1322.26
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.795089,-78.692,254,6130.79
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.752889,-78.729909,379,12181.04
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.86046,-78.81616,78,3148.78
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.79486,-78.705399,287,7367.14
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.85878,-78.820104,70,2740.39
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.801279,-78.707339,251,15177.73
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.860139,-78.821669,60,2380.27
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.7956,-78.701289,275,6979.89
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.794999,-78.704589,283,7284.88
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.85957,-78.812729,86,3474.75
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.874189,-78.836979,4,121.46
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.789544,-78.772843,283,14336.42
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.7920106577542,-78.7638932379965,267,13465.77
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.87417,-78.83682,5,135.93
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.874179,-78.83659,6,156.66
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.87407,-78.83578,8,272.07
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.79488,-78.705429,517,21959.61
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.79495,-78.705719,515,21932.29
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.874029,-78.83573,9,278.48
485daab2-892f-4bea-b175-06f42185b283,35.703909,-78.834639,84,4317.54
485daab2-892f-4bea-b175-06f42185b283,35.70424,-78.834769,86,4356.14
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.79478,-78.705339,519,21973.52
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.79189,-78.765289,270,13594.62
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.873649,-78.83533,11,334
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.74976,-78.711379,339,10276.27
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.794929,-78.70484,521,22021.45
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.861149,-78.82211,56,2261.16
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.7516402449862,-78.7257397247872,372,11778.83
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.755049,-78.736569,391,12831.3
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.8584716931813,-78.821010855709,69,2651.83
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.874227,-78.8379,0,0
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.87451,-78.83642,7,196.5
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.79623,-78.70658,510,21769.53
485daab2-892f-4bea-b175-06f42185b283,35.7017,-78.833909,76,4063.1
485daab2-892f-4bea-b175-06f42185b283,35.702399,-78.834089,78,4142.46
485daab2-892f-4bea-b175-06f42185b283,35.7027,-78.834179,79,4176.88
485daab2-892f-4bea-b175-06f42185b283,35.703039,-78.83429,80,4215.86
1ee43663-58d9-47b4-b00b-9c8c4427b871,35.807059,-78.81194,414,12064.62
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.792,-78.763479,265,13428.41
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.796069,-78.706429,511,21792.01
485daab2-892f-4bea-b175-06f42185b283,35.70101,-78.833769,75,3985.39
485daab2-892f-4bea-b175-06f42185b283,35.70062,-78.83371,74,3941.73
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.795789,-78.70627,512,21826.27
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.792009,-78.763769,266,13454.57
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.87407,-78.83714,3,101.84
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.74978,-78.711239,338,10263.45
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.795549,-78.70613,513,21855.77
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.74986,-78.71064,337,10208.7
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.867254,-78.827736,37,1404.1
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.792,-78.763219,264,13404.98
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.79386,-78.685689,234,5542.72
485daab2-892f-4bea-b175-06f42185b283,35.703119,-78.834319,81,4225.13
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.873919,-78.83732,2,78.51
