stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
2214,8909,Blount St at GoRaleigh Station,,35.77775,-78.636704,0,0
12731,9477,Martin St at Dawson St,,35.77711,-78.64273,0,0
12723,9917,Harrington St at Martin St,,35.777624,-78.645052,0,0
12704,8184,Morgan St at Glenwood Ave,,35.780006,-78.648637,0,0
12702,8815,Morgan St at Hillsborough St,,35.781756,-78.655473,0,0
12212,8235,Hillsborough St at Forest Rd (WB),,35.784813,-78.659062,0,1
12664,8237,Hillsborough St at Enterprise St (WB),,35.786819,-78.664281,0,1
12666,8240,Hillsborough St at Brooks Ave (WB),,35.788853,-78.672712,0,1
12226,8584,Hillsborough St at Shepherd St (WB),,35.790304,-78.678742,0,1
12678,8586,Hillsborough St at Faircloth St (WB),,35.793354,-78.684009,0,1
12228,8587,Hillsborough St at Meredith College (WB),,35.794378,-78.688472,0,1
12206,8129,Blue Ridge Rd at Trinity Rd (NB),,35.797941,-78.707561,0,1
12204,8120,Blue Ridge Rd at Westchase Blvd (NB),,35.801235,-78.707248,0,1
12728,1608,Airport Blvd at Slater Rd (WB),,35.858505,-78.821282,0,0
12726,1239,Slater Rd at Copley Pkwy (NB),,35.861319,-78.822121,0,0
12060,1218,Slater Rd at Carrington Mill Blvd (WB),,35.867717,-78.827998,0,1
1733,1000,Regional Transit Center (RTC),,35.874227,-78.8379,0,1
12720,2001,Union Station - Bus Platform A,,35.778472,-78.646468,0,0
12833,147,Pullen Rd at Stinson Dr,,35.7841,-78.66477,0,0
12835,2043,Pullen Rd at Cates Ave (SB),,35.782132,-78.66585,0,0
12837,2045,Pullen at Western Blvd (SB),,35.778467,-78.667439,0,0
12839,2048,"Varsity Dr at Partner's Way (WB)",,35.77269,-78.675268,0,0
10425,8528,Avent Ferry Rd at Varsity Dr (Carolyn Apts),,35.775107,-78.681518,0,0
11674,9924,Avent Ferry Rd at Avery Close Apt,,35.773921,-78.68276,0,0
10427,8530,Avent Ferry Rd at Brigadoon Dr (SB),,35.770271,-78.689145,0,0
12845,2050,Trailwood at Walnut Creek Trail (SB),,35.76775,-78.69083,0,0
10434,8537,Trailwood Dr at Centennial Knoll Cir,,35.753757,-78.694583,0,0
12847,2052,Trailwood Dr at Lineberry Dr (SB),,35.75067,-78.69498,0,0
12848,2053,Trailwood at Wolftech Ln,,35.74829,-78.69562,0,0
12850,2055,Tryon Rd at Gorman St (WB),,35.74908,-78.70387,0,0
12852,2057,Dillard Dr at Wildwind Way,,35.75198,-78.72671,0,0
1780,1274,Dillard Dr at Jones Franklin Rd (WB),,35.754203,-78.733513,0,1
1779,1292,Dillard Dr at Columbus Ave (WB),,35.754985,-78.735969,0,1
1776,1313,Dillard Dr at Walnut St (WB),,35.75562,-78.739594,0,1
1765,11034,Dillard Dr at Meeting St (WB),,35.756284,-78.7437,0,1
1763,1294,Dillard Dr at Piney Plains Rd (WB),,35.755771,-78.748637,0,1
1747,1323,Piney Plains Rd at Scarlet Sky Ln (WB),,35.749813,-78.752889,0,1
1745,1321,Piney Plains Rd at Tryon Rd (WB),,35.746747,-78.754288,0,1
1744,1315,Tryon Rd at Cary Pkwy (WB),,35.743922,-78.761545,0,1
12142,1312,Tryon Rd at New Waverly Pl (WB),,35.741181,-78.777101,0,1
1609,1318,Tryon Rd at WakeMed Cary Hospital (WB),,35.73934,-78.780863,0,1
1594,1720,Lake Pine Plaza Park-and-Ride,,35.745055,-78.823615,0,0
1598,1262,Lake Pine Dr at Pine Plaza Dr (EB),,35.745452,-78.820297,0,1
1606,1162,Laura Duncan Rd at Knollwood Dr (SB),,35.744462,-78.836561,0,1
1603,1164,Laura Duncan Rd at Apex Peakway (SB),,35.737345,-78.842512,0,1
1584,1596,Mason St at Apex Town Hall (SB),,35.733075,-78.845538,0,1
1602,1166,Mason St at Chatham St (SB),,35.729333,-78.847396,0,1
1582,1449,Hughes St at Williams St (SB),,35.726566,-78.851345,0,1
1600,1168,Hughes St at Estate Dr (SB),,35.719682,-78.850196,0,1
12147,1184,Apex Peakway at Hughes St (EB),,35.71707,-78.844449,0,1
12148,1234,North Main Athletic Complex Park-and-Ride (EB),,35.669518,-78.83641,0,1
12867,2084,Main St at Oak Hall Dr (SB),,35.66031,-78.836,0,0
12865,2082,Main St at Holly Springs Rd (SB),,35.656393,-78.834867,0,0
12149,1236,Main St at Center St (SB),,35.650752,-78.83375,0,1
12688,1410,S Main St at Rex Hospital (SB),,35.64266,-78.8332,0,1
12687,1414,Ralph Stephens Rd at Collins Crossings Rd,,35.632754,-78.832196,0,1
1428,3239,Manning Dr at UNC Hospitals (WB),,35.903536,-79.051829,0,1
12452,3223,S Columbia St at Health Sciences Library (NB),,35.905524,-79.05328,0,1
1425,3437,S Columbia St at Sitterson Hall (NB),,35.909299,-79.053219,0,1
1424,3178,S Columbia St at Abernethy Hall (NB),,35.91143,-79.054574,0,1
1426,3427,E Franklin St at Coffee Shop (EB),,35.913681,-79.054139,0,1
1470,3257,E Franklin St at Planetarium (EB),,35.914868,-79.051015,0,1
2296,3255,E Franklin St at S Boundary St (EB),,35.916814,-79.045973,0,1
1474,3269,E Franklin St at Davie Cir (EB),,35.918381,-79.039681,0,1
1476,3266,E Franklin St at Elizabeth St (EB),,35.924471,-79.037961,0,1
1494,3264,E Franklin St at Plant Rd (EB),,35.926755,-79.035676,0,1
1496,3260,E Franklin St at Estes Dr (EB),,35.929951,-79.03384,0,1
1498,3367,E Franklin St at Couch Rd (EB),,35.932374,-79.031771,0,1
1500,3365,E Franklin St at Elliott Rd (EB),,35.935353,-79.02856,0,1
1502,3453,E Franklin St at Eastgate Crossing (EB),,35.936752,-79.026063,0,1
12857,2074,[Stop Closed] Fordham Blvd at Eastowne Dr (EB),,35.947315,-79.006537,0,0
11435,1901,McFarland Dr at Witherspoon Blvd (EB),,35.950597,-78.990066,0,1
1068,6075,Westgate Dr at South Square (SB),,35.966156,-78.961103,0,1
12186,5980,University Dr at Martin Luther King Jr Pkwy (WB),,35.963085,-78.960194,0,1
1549,1078,Erwin Rd at Center for Living Dr (NB),,35.999137,-78.952677,0,1
1550,1553,Erwin Rd at Towerview Rd (NB),,36.003767,-78.95056,0,1
12616,5460,Erwin Rd at LaSalle St (EB),,36.00798,-78.945586,0,1
12160,5165,Erwin Rd at Downing St (EB),,36.008651,-78.943858,0,1
12188,6012,Erwin Rd at Fulton St (EB),,36.008111,-78.937749,0,1
1560,1590,Trent Dr at Erwin Rd (NB),,36.008608,-78.933583,0,1
12631,5952,Chapel Hill St at Duke St (EB),,35.996915,-78.908997,0,1
12805,5012,Durham Station (Parking Deck),,35.995843,-78.905206,0,0
1433,3359,South Rd at Fetzer Gym (EB),,35.909599,-79.047563,0,1
1837,1748,District Drive Park-and-Ride,,35.805546,-78.710834,0,1
1853,1187,Hillsborough St at Meredith College (EB),,35.794227,-78.688547,0,1
12670,8274,Hillsborough St at Gardner St (EB),,35.7884148536949,-78.6713724416322,0,1
12685,9483,Hillsborough St at St Marys St (EB),,35.78079,-78.65028,0,1
12724,2002,Union Station - Bus Platform B,,35.778487,-78.646812,0,0
12059,1217,Slater Rd at Carrington Mill Blvd (EB),,35.867254,-78.827736,0,1
12725,1238,Slater Rd at Copley Pkwy (SB),,35.86193,-78.82277,0,0
12727,1607,Airport Blvd at Slater Rd (EB),,35.85878,-78.820104,0,0
1742,1576,RDU Airport at Terminal 1,,35.874489,-78.790445,0,1
1741,1577,RDU Airport at Terminal 2,,35.876036,-78.793056,0,1
12654,8119,Blue Ridge Rd at Westchase Blvd (SB),,35.800694,-78.707491,0,1
12656,8124,Blue Ridge Rd at Trinity Rd (SB),,35.797431,-78.707808,0,1
12680,8597,Hillsborough St at Turner St (EB),,35.792676,-78.683112,0,1
12218,8273,Hillsborough St at Friendly Dr (EB),,35.789555,-78.676498,0,1
12672,8277,Hillsborough St at Enterprise St (NCSU Bell Tower),,35.786467,-78.663746,0,1
12222,8280,Hillsborough St at Forest Rd (EB),,35.784577,-78.658949,0,1
12701,8884,Morgan St at Tryon Hill Dr,,35.780958,-78.655911,0,0
12703,9437,Morgan St at Boylan Ave,,35.779898,-78.649307,0,0
12705,9000,West St at Raleigh Union Station,,35.777538,-78.646168,0,0
12760,8892,Hargett St at McDowell St,,35.77831,-78.64148,0,0
1718,1398,Cary Depot (South Platform),,35.788181,-78.781819,0,1
1820,11032,E Chatham St at Circle Dr (EB),,35.789253,-78.77286,0,1
1821,11002,E Chatham St at Chatham Square (EB),,35.79176,-78.765734,0,1
